Make,Model,events,total_fatal,fatality_rate,survival_rate,most_common_injury
PIPER,PA25,30,20.0,0.7142857142857143,0.2857142857142857,Fatal
Mitsubishi,MU-2B-60,23,38.0,0.6229508196721312,0.3770491803278688,Non-Fatal
BEECH,C90,22,33.0,0.5689655172413793,0.43103448275862066,Fatal
CESSNA,421C,22,30.0,0.4918032786885246,0.5081967213114754,Fatal
BEECH,V35,24,28.0,0.4827586206896552,0.5172413793103448,Fatal
SOCATA,TBM 700,20,26.0,0.48148148148148145,0.5185185185185186,Non-Fatal
ROBINSON,R44,131,138.0,0.4808362369337979,0.519163763066202,Fatal
ROBINSON,R66,22,17.0,0.4722222222222222,0.5277777777777778,Fatal
BEECH,58,53,61.0,0.4485294117647059,0.5514705882352942,Non-Fatal
CESSNA,T210,25,21.0,0.42,0.5800000000000001,Non-Fatal
ROBINSON,R22,58,37.0,0.4157303370786517,0.5842696629213483,Non-Fatal
Cessna,A150K,21,14.0,0.4117647058823529,0.5882352941176471,Non-Fatal
Beech,V35,43,35.0,0.4069767441860465,0.5930232558139534,Non-Fatal
CESSNA,U206F,21,29.0,0.4027777777777778,0.5972222222222222,Non-Fatal
Beech,A36TC,44,49.0,0.4016393442622951,0.5983606557377049,Non-Fatal
Beech,F35,22,14.0,0.4,0.6,Non-Fatal
PIPER,PA34,30,25.0,0.3968253968253968,0.6031746031746033,Non-Fatal
Grumman American,AA-5,26,22.0,0.39285714285714285,0.6071428571428572,Non-Fatal
MOONEY,M20E,25,16.0,0.36363636363636365,0.6363636363636364,Non-Fatal
Cessna,T303,20,17.0,0.3617021276595745,0.6382978723404256,Non-Fatal
